ID,Nom,Frais,Frais EXTRA: Moyen - MED,Frais EXTRA: Lourd - HVY,Frais EXTRA: Volumineux - BLK,Frais EXTRA: Surdimensionné - OVS,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Informations
392,Ait ishaq,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
393,Ait ishaK,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Non,
394,Tighassaline ville,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
395,Aguelmous,45.00,+15,+35,+55,+75,Oui,Non,Oui,Oui,Non,Oui,Non,
397,Bounouar,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
398,HATTANE,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Non,
399,Boujniba,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
400,Ouaouizeght,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Oui,Non,
401,Adouz,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
402,Foum El Anceur,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
403,FERYATA,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
404,Foum Zaouia,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
405,Tanougha-Beni Mellal,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
406,Al kamoun-ksba tadla,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Non,
407,Jerf El Melha,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
408,Zemamra,45.00,+15,+35,+55,+75,Non,Oui,Oui,Oui,Non,Oui,Non,
410,Sidi Smail,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
411,Azemmour,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
412,Bir Jdid,45.00,+15,+35,+55,+75,Oui,Non,Non,Non,Non,Non,Non,
413,El Jorf Lasfar,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
414,Moulay Abdallah Amghar,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
415,El Aouamra,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Non,
416,Laarache,40.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Non,
417,Oulad Bourahma,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
418,Zone Franche (kenitra),40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
420,Ghafsai,45.00,+15,+35,+55,+75,Non,Oui,Non,Non,Oui,Non,Oui,
421,sidi aadi,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Non,
422,Mejjat-chichaoua,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
423,Ain Tekki,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
426,OULAD ABBOU-settat,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
428,AIN LEUH,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
429,Souihla,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
430,El Haj Kaddour,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Non,
431,Boulemane,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
432,Tin Mansour,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
433,Arba Aounate,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
434,AIN BNI MATHAR,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
435,Tikiouine,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
