ID,Nom,Frais,Frais EXTRA: Moyen - MED,Frais EXTRA: Lourd - HVY,Frais EXTRA: Volumineux - BLK,Frais EXTRA: Surdimensionné - OVS,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Informations
534,Bouhouda-taounat,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Non,Oui,Non,
535,Tahar Souk-taounat,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
536,bouaadl-taounat,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
537,Ouled azem-taounat,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
538,Tazouda-taounat,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
539,Timezgana-taounat,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Non,Oui,Non,
540,Imouzzer Marmoucha,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
541,MEZRAOUA-taounat,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
542,Ait Yaazem-meknes,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
544,Ourtzagh-taounat,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
545,Kasbat ayir-oualidia,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
546,Amerzgane,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
547,Imini-Ouarzazate,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
550,LAMHIRIZ-dakhla,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
552,AIN SMEN-FES,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
553,Idouirane-Imintanuot,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
554,Tamait Izder-agadir,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
555,Tinzouline-zagora,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
557,BEN ZOLI,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
558,Tagounite,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Non,Oui,
559,Ain el Mediour- taroudant,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
560,Ouled Mssaad,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
561,Oulad Othmane,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
562,Oulad Yahya Lagraire,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
563,Tinnegza,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
564,Ouled Moqaddem,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
565,Aït Attab,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
566,Oulad Aissa- el jadida,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
567,BRADIA,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
568,Souk El Had Des Bradia,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
570,Ouzoud,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
571,HOUARA-Tanger,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
572,MEHARZA-Tanger,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
573,EL MNBAR-Tanger,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
574,AIN BELLOUT-Tanger,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
575,Agouim,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
576,Ighrem N Ougdal,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
577,Tarmigt,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
578,Ain jiri,45.00,+60.00,+70.00,+80.00,+100.00,Oui,Non,Oui,Non,Oui,Non,Non,
579,Tlata Loulad Fini,45.00,+70.00,+70.00,+70.00,+70.00,Non,Non,Oui,Non,Non,Oui,Non, 
580,Tnine Beni Meskine,45.00,+70.00,+80.00,+90.00,+90.00,Non,Oui,Non,Oui,Non,Non,Non,  
581,Aghbalou N serdan,45.00,+70.00,+75.00,+80.00,+90.00,Non,Non,Non,Oui,Non,Non,Non,
582,Itzer-zaida,45.00,+70.00,+80.00,+80.00,+90.00,Non,Non,Oui,Non,Non,Oui,Non,
583,Zoualeth Dkhissa,45.00,+70.00,+70.00,+70.00,+70.00,Oui,Oui,Oui,Oui,Oui,Oui,Non,
584,Ras El Ma Fes,45.00,+60.00,+70.00,+80.00,+90.00,Oui,Oui,Oui,Oui,Oui,Oui,Non, 
585,Tassaout,45.00,+15.00,+35.00,+55.00,+75.00,Oui,Oui,Non,Non,Oui,Oui,Non,
586,Oued Jdida,45.00,+15.00,+35.00,+55.00,+75.00,Non,Oui,Non,Non,Non,Non,Non,
587,Ouled Slim Khrarib,45.00,+15.00,+35.00,+55.00,+75.00,Non,Oui,Non,Non,Non,Non,Non,
588,Aghbala-beni mellal,45.00,+55.00,+70.00,+80.00,+90.00,Oui,Non,Non,Oui,Non,Oui,Non,
589,Tala Youssef-hociema,45.00,+55.00,+70.00,+75.00,+90.00,Oui,Non,Oui,Non,Oui,Non,Non,
590,Oulad Jerrar,45.00,+50.00,+55.00,+70.00,+90.00,Oui,Oui,Oui,Oui,Oui,Oui,Non,
